"Raw Data File","cells","tracer molecule","labelled positions","abundance","Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment","retention(min)","m/z monitored","signal intensity","isotopologue","isotologue abundance relative concentration"
"20120713 A549 0H Glucosa C1C2 1_S200 G3_001.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","_",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,327,0,"13C-1"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_001.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","_",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,328,0.468227795514668,"13C0"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_001.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","_",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,329,0.0733946813257968,"13C1"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_001.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","_",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,330,0.390679566554362,"13C2"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_001.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","_",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,331,0.0515593092404661,"13C3"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_001.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","_",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,332,0.0139000616279467,"13C4"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_001.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","_",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,333,0.0017541396312689,"13C5"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_001.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","_",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,334,0.000484446105490921,"13C6"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_02.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"2","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,327,0,"13C-1"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_02.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"2","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,328,0.469043489636405,"13C0"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_02.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"2","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,329,0.0734190318434601,"13C1"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_02.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"2","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,330,0.39058193405093,"13C2"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_02.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"2","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,331,0.0513761628489493,"13C3"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_02.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"2","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,332,0.0135852939617856,"13C4"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_02.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"2","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,333,0.00156631234550732,"13C5"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_02.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"2","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,334,0.000427775312962867,"13C6"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_03.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"3","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,327,0,"13C-1"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_03.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"3","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,328,0.467915026337107,"13C0"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_03.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"3","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,329,0.0738046685668629,"13C1"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_03.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"3","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,330,0.390414566525799,"13C2"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_03.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"3","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,331,0.0517470663236538,"13C3"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_03.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"3","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,332,0.013954809548717,"13C4"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_03.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"3","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,333,0.00173220161015431,"13C5"," "
"20120713 A549 0H Glucosa C1C2 1_S200 G3_03.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"3","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,334,0.000431661087705509,"13C6"," "
"20120713 A549 0H Glucosa C1C2 2_S50 G3_01.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,327,0,"13C-1"," "
"20120713 A549 0H Glucosa C1C2 2_S50 G3_01.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,328,0.466065108958187,"13C0"," "
"20120713 A549 0H Glucosa C1C2 2_S50 G3_01.CDF","A549","D-[1,2-C13]-Glucose","1,1,0,0,0,0",50,"1","3",0,"Glucose","CHEBI:","C1-C6","C14H18O8N1",3.74,329,0.073019296799548,"13C1"," "
